2015-07-03 9:55:13, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[19]------ =====签名报文开始====== 
2015-07-03 9:55:13, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[25]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703095513&txnType=01&version=5.0.0 
2015-07-03 9:55:13, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[28]------ 摘要sha1x16 >f58ee56827e0d22656dc33d6f70416aeec376136 
2015-07-03 9:55:15, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[36]------ 签名串为 >WC4tQQf6eo7aiARhSX8WuyKoBbbgeE7SM8oIYZdPZl4RcyLjChTU8W0hW/jb2mZ3o7qZl5k3W0pK/orHwq+QrqvE9sT9nKqTzTaBsYOs6U8iZ2vusqrUdFnXrQyia83JKwYeyedCUt1FkfKbu+sZzyQCSXvm3vzCxL7LTxIE8To= 
2015-07-03 9:55:15, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[41]------ =====签名报文结束====== 
2015-07-03 9:56:05, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[17]------ =====签名报文开始====== 
2015-07-03 9:56:05, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703095605&txnType=01&version=5.0.0 
2015-07-03 9:56:05, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[26]------ 摘要sha1x16 >227068c63b08c3436583dd898c7b8aca18c6995e 
2015-07-03 9:56:06, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[34]------ 签名串为 >TJMWQvb71srDaMbM5aJXbBNgV+bbWcS1+KFxwdflgXmBKGlVpb4w+u6K5LDQuieq5Fixnr4r86tVOVYDWmf6lWKb95JVuceZJntv6GpwEQpU5llKbNHIYuw+HRuDV3rKomOw157Ys2A7pnzd/67e7VdaGMMTv5lWEVcHBSnkMnE= 
2015-07-03 9:56:06, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-07-03 9:56:47, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[17]------ =====签名报文开始====== 
2015-07-03 9:56:47, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703095647&txnType=01&version=5.0.0 
2015-07-03 9:56:47, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[26]------ 摘要sha1x16 >a44e566249a6c372a8978bfcfafa0b572e4bec8a 
2015-07-03 9:56:48, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[34]------ 签名串为 >OW39vAoq49AaU9f+SuZbdVE+c/bg1/WAUT+GKx+70/1Bpk5GyAV6k9GblHGfHKUZ4df8ILmqjEovJ1D8hW5C3PioLD/r0CcNK1DwJ6dM2yWntvh59cVg1QkWzygV8OHNymrqljaFukXDJWZI4qUJ02DeHnnXnZMZYOHFRzq3N2c= 
2015-07-03 9:56:48, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-07-03 9:56:59, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[17]------ =====签名报文开始====== 
2015-07-03 9:56:59, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703095659&txnType=01&version=5.0.0 
2015-07-03 9:56:59, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[26]------ 摘要sha1x16 >f6acd6714540ecdedc59314b1229327ef60002e9 
2015-07-03 9:57:00, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[34]------ 签名串为 >JBxN10UXVXcCyHaLckcR0Vo+DIP0O9skW5HYtCmJv4fTkxr0BkuTn95MYV5OwU0GXg/aMKrufEJoXSeOK/7yfs+kYtdmHr/LV5hmVvxXJLMoEbLe3e0nZD9doWwB62SqJ+Zcia+y0nOkYZ3edEnC7LeuyNJaaMHFDkGtjpTOVog= 
2015-07-03 9:57:00, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-07-03 9:59:06, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[17]------ =====签名报文开始====== 
2015-07-03 9:59:06, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703095906&txnType=01&version=5.0.0 
2015-07-03 9:59:06, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[26]------ 摘要sha1x16 >7383287551d7a160bdeb9478912462298a4e7ddb 
2015-07-03 9:59:07, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[34]------ 签名串为 >KZTdjLqK0bO7utcRYK1IYONNEBOfqUUDYBPv9lpOTEggI6vMSp91N2aWQkBU3bmb5WXImkGCoLl0ceLMwe369ckF/WgJwK4fNhL+6yW0L6tc0/I1uql8qWVGbWnFtWI+5K6+p9Ub2/vaX+H7E8gPkTnZ0lef81WU4N/EkPHOLbI= 
2015-07-03 9:59:07, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-07-03 10:01:15, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[17]------ =====签名报文开始====== 
2015-07-03 10:01:15, INFO, _NO_IP, File[ E:\webapps\www\trunk\web\Application\Common\Org\lib\unionpay\lib\secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://liand.youngt.com/index.php/api/PayCallBack/payCallbackHandle/payAction/unionpay&bizType=000201&certId=124876885185794726986301355951670452718&channelType=08&currencyCode=156&encoding=utf-8&merId=802110048991147&orderDesc=test_title&orderId=go-test-123-3&reqReserved=test_product&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20150703100115&txnType=01&version=5.0.0 
